Car Model,Efficiency (Wh/km),Range (km),Battery (kWh),Price (GBP),Availability
Mazda 6e 68.8 kWh,162.0,420.0,68.0,,Discontinued
BMW i4 eDrive40,155.0,525.0,81.3,59465.0,Available
Audi A2 e-tron 140 kW - 58 kWh,155.0,375.0,58.0,35500.0,Available
TOGG T10F Long Range RWD,173.0,490.0,85.0,,Available
XPENG G9 RWD Long Range,188.0,490.0,92.2,,Available
Tesla Model 3 Long Range AWD,162.0,455.0,73.5,46990.0,Discontinued
Tesla Model Y Long Range AWD,169.0,425.0,72.0,,Discontinued
BMW iX xDrive50,208.0,505.0,105.2,102755.0,Discontinued
Mercedes-Benz VLE 400 4MATIC,228.0,505.0,115.0,,Available
Tesla Model 3 Performance,153.0,515.0,79.0,59990.0,Available
BYD SEALION 7 82.5 kWh RWD Comfort,196.0,420.0,82.5,46990.0,Available
Toyota bZ4X AWD 73.1 kWh,184.0,375.0,69.0,52510.0,Available
Hyundai Kona Electric 64 kWh,164.0,390.0,64.0,39150.0,Discontinued
Opel Frontera Electric 54 kWh,184.0,290.0,53.5,25995.0,Available
Tesla Model Y Long Range RWD,165.0,455.0,75.0,46990.0,Discontinued
Skoda Elroq 85,171.0,450.0,77.0,35560.0,Discontinued
Renault 4 E-Tech 52kWh 150hp,165.0,315.0,52.0,23445.0,Available
BYD TANG Flagship,237.0,460.0,108.8,,Available
BYD ATTO 3 Evo AWD Excellence,192.0,390.0,74.8,42730.0,Available
Skoda Peaq 90x,176.0,490.0,86.0,57230.0,Available
Tesla Model 3 Performance,162.0,470.0,76.0,59990.0,Discontinued
Volkswagen ID.4 Pro,172.0,460.0,79.0,35495.0,Available
Tesla Model 3 Long Range AWD,143.0,525.0,75.0,49990.0,Discontinued
XPENG L03 AWD Performance,178.0,390.0,69.5,,Available
Peugeot e-2008 54 kWh,169.0,300.0,50.8,33900.0,Available
BYD ATTO 3,178.0,340.0,60.5,37730.0,Discontinued
Volvo EX30 P5 Long Range,178.0,365.0,65.0,37260.0,Available
Leapmotor C10 AWD 81.9 kWh,216.0,380.0,81.9,,Available
BYD SEALION 7 82.5 kWh AWD Design,204.0,405.0,82.5,51990.0,Available
MG MG4 Urban Standard Range,164.0,255.0,41.9,23495.0,Available
Volkswagen ID.4 Pro Performance,188.0,410.0,77.0,46035.0,Discontinued
MG MG5 Electric Long Range,171.0,335.0,57.4,30995.0,Discontinued
Renault Megane E-Tech EV60 220hp,158.0,380.0,60.0,31295.0,Available
Volvo EX40 P5 Long Range,198.0,400.0,79.0,,Available
Mini Cooper SE,161.0,180.0,28.9,32550.0,Discontinued
Mercedes-Benz G 580,294.0,395.0,116.0,180860.0,Available
Skoda Enyaq 85,169.0,455.0,77.0,40560.0,Discontinued
GAC AION V 75 kWh,179.0,420.0,75.3,36450.0,Available
Peugeot e-3008 73 kWh,192.0,380.0,73.0,45960.0,Available
BMW i4 M50,179.0,450.0,80.7,71085.0,Discontinued
Tesla Model Y Premium RWD,160.0,470.0,75.0,48990.0,Discontinued
Volkswagen ID.3 Neo 140 kW - 58 kWh,159.0,365.0,58.0,33995.0,Available
Geely E2 35 kWh,164.0,215.0,35.4,20990.0,Available
Audi Q8 SUV e-tron 55 quattro,210.0,505.0,106.0,80715.0,Discontinued
Kia EV9 99.8 kWh AWD,221.0,435.0,96.0,,Available
